dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
ic3t-wcy2,,if26-z6xq,,0.7968,embedding
ic3t-wcy2,,29bw-z7pj,,0.784,embedding
ic3t-wcy2,,2n4x-d97d,,0.8306,embedding
ic3t-wcy2,,fwpa-qxaf,,0.7678,embedding
ic3t-wcy2,,d4iy-9uh7,,0.8448,embedding
ic3t-wcy2,,xp25-gxux,,0.8096,embedding
ic3t-wcy2,,bdjm-n7q4,,0.816,embedding
ic3t-wcy2,,pd5h-92mc,,0.8097,embedding
ic3t-wcy2,,6smc-7mk6,,0.8336,embedding
ic3t-wcy2,,p78i-pat6,,0.7561,embedding
ic3t-wcy2,,478a-yykk,,0.7685,embedding
ic3t-wcy2,,tc6u-8rnp,,0.8122,embedding
ic3t-wcy2,,vz8c-29aj,,0.7804,embedding
ic3t-wcy2,,98b7-th5j,,0.8139,embedding
ic3t-wcy2,,7crd-d9xh,,0.77,embedding
ic3t-wcy2,,kyad-zm4j,,0.8416,embedding
ic3t-wcy2,,6rrm-vxj9,,0.829,embedding
ic3t-wcy2,,ncre-qhxs,,0.8141,embedding
ic3t-wcy2,,wzur-rhz9,,0.816,embedding
ic3t-wcy2,,adax-9mit,,0.8154,embedding
ic3t-wcy2,,fc53-9hrv,,0.7729,embedding
ic3t-wcy2,,b9km-gdpy,,0.7987,embedding
ic3t-wcy2,,h2bn-gu9k,,0.774,embedding
ic3t-wcy2,,dt2z-amuf,,0.8018,embedding
ic3t-wcy2,,sbnd-xujn,,0.8171,embedding
ic3t-wcy2,,355w-xvp2,,0.7509,embedding
ic3t-wcy2,,q5u8-89nv,,0.8522,embedding
ic3t-wcy2,,hu6m-9cfi,,0.8298,embedding
ic3t-wcy2,,xxbr-ypig,,0.7686,embedding
ic3t-wcy2,,kwte-dppd,,0.7814,embedding
ic3t-wcy2,,e5aq-a4j2,,0.7718,embedding
ic3t-wcy2,,inkn-q76z,,0.7798,embedding
ic3t-wcy2,,3279-pp7v,,0.8151,embedding
ic3t-wcy2,,bquu-z2ht,,0.8212,embedding
ic3t-wcy2,,y9b6-624z,,0.81,embedding
ic3t-wcy2,,rbed-zzin,,0.7652,embedding
ic3t-wcy2,,4kpn-sezh,,0.8058,embedding
ic3t-wcy2,,xck4-5xd5,,0.7618,embedding
ic3t-wcy2,,ubdi-jgw2,,0.8269,embedding
ic3t-wcy2,,fgq8-am2v,,0.8047,embedding
ic3t-wcy2,,g76y-dcqj,,0.8423,embedding
ic3t-wcy2,,kwvk-z7i9,,0.7917,embedding
ic3t-wcy2,,5kqf-fg3n,,0.7555,embedding
ic3t-wcy2,,w76s-c5u4,,0.7706,embedding
ic3t-wcy2,,xx2p-4jnq,,0.7984,embedding
ic3t-wcy2,,qnv7-p7a2,,0.7958,embedding
ic3t-wcy2,,37fm-7uaa,,0.8307,embedding
ic3t-wcy2,,nvgj-hbht,,0.7756,embedding
ic3t-wcy2,,u9wf-3gbt,,0.8179,embedding
ic3t-wcy2,,3kfa-rvez,,0.8125,embedding
ic3t-wcy2,,bvug-v3mm,,0.8162,embedding
ic3t-wcy2,,799n-b76v,,0.8331,embedding
ic3t-wcy2,,ay9k-vznm,,0.7504,embedding
ic3t-wcy2,,ck4n-5h6x,,0.838,embedding
ic3t-wcy2,,ebkm-iyma,,0.8172,embedding
ic3t-wcy2,,n8q6-i44s,,0.8607,embedding
ic3t-wcy2,,cp6j-7bjj,,0.794,embedding
ic3t-wcy2,,de3m-c5p4,,0.8079,embedding
ic3t-wcy2,,esmy-s8q5,,0.8286,embedding
ic3t-wcy2,,82zj-84is,,0.83,embedding
ic3t-wcy2,,gfej-by6h,,0.8013,embedding
ic3t-wcy2,,pdiy-9ae5,,0.8097,embedding
ic3t-wcy2,,cr93-x2xf,,0.8041,embedding
ic3t-wcy2,,yg3y-7juh,,0.7586,embedding
ic3t-wcy2,,kevu-8hby,,0.7598,embedding
ic3t-wcy2,,5vi6-xdpy,,0.805,embedding
ic3t-wcy2,,vn4m-mk4t,,0.8178,embedding
ic3t-wcy2,,pc34-d3sx,,0.788,embedding
ic3t-wcy2,,8isn-pgv3,,0.8325,embedding
ic3t-wcy2,,dpm2-m9mq,,0.8048,embedding
ic3t-wcy2,,w8dz-xpjh,,0.8069,embedding
ic3t-wcy2,,mu46-p9is,,0.8299,embedding
ic3t-wcy2,,cqc8-am9x,,0.7514,embedding
ic3t-wcy2,,y5rm-wagw,,0.7629,embedding
ic3t-wcy2,,a4qt-mpr5,,0.8092,embedding
ic3t-wcy2,,frre-6z6q,,0.7777,embedding
ic3t-wcy2,,sqcr-6mww,,0.7813,embedding
ic3t-wcy2,,kuxa-tauh,,0.8234,embedding
ic3t-wcy2,,2bsr-c6qq,,0.861,embedding
ic3t-wcy2,,quxm-hmyr,,0.7985,embedding
ic3t-wcy2,,sp4a-vevi,,0.7591,embedding
ic3t-wcy2,,ayeb-p4mv,,0.8055,embedding
ic3t-wcy2,,242c-ru4i,,0.7993,embedding
ic3t-wcy2,,u553-m549,,0.8107,embedding
ic3t-wcy2,,g9jx-npbk,,0.8134,embedding
ic3t-wcy2,,9hxz-c2kj,,0.8516,embedding
ic3t-wcy2,,76ig-c548,,0.8024,embedding
